     CONST	       INT	       MAX	        10
     CONST	      CHAR	         A	        97
     CONST	      CHAR	      plus	        43
     CONST	      CHAR	     minus	        45
     CONST	      CHAR	      mult	        42
     CONST	      CHAR	       div	        47
       VAR	       INT	         n	          
       VAR	       INT	         x	          
       VAR	       INT	         y	          
       VAR	       INT	      kind	          
       VAR	       INT	         m	          
       VAR	       INT	       ans	          
       VAR	       INT	        _a	          
       VAR	       INT	        _b	          
       VAR	      CHAR	        ch	          
       VAR	      CHAR	  alphabet	        26
      FUNC	testDefine	          	          
     CONST	       INT	          	         0
     CONST	       INT	          	         1
     CONST	       INT	          	         2
     CONST	       INT	          	         3
     CONST	       INT	          	         4
     CONST	       INT	          	         5
     CONST	       INT	          	         6
     CONST	       INT	          	         7
     CONST	       INT	          	         8
     CONST	       INT	          	         9
     CONST	       INT	          	        10
     CONST	       INT	          	        11
     CONST	       INT	          	        12
     CONST	       INT	          	        13
     CONST	       INT	          	        14
     CONST	       INT	          	        15
     CONST	       INT	          	        16
     CONST	       INT	          	        17
     CONST	       INT	          	        18
     CONST	       INT	          	        19
     CONST	       INT	          	         0
     CONST	       INT	          	        -1
     CONST	       INT	          	        -2
     CONST	       INT	          	        -3
     CONST	       INT	          	        -4
     CONST	       INT	          	        -5
     CONST	       INT	          	        -6
     CONST	       INT	          	        -7
     CONST	       INT	          	        -8
     CONST	       INT	          	        -9
     CONST	       INT	          	       -10
     CONST	       INT	          	       -11
     CONST	       INT	          	       -12
     CONST	       INT	          	       -13
     CONST	       INT	          	       -14
     CONST	       INT	          	       -15
     CONST	       INT	          	       -16
     CONST	       INT	          	       -17
     CONST	       INT	          	       -18
     CONST	       INT	          	       -19
     CONST	       INT	          	         0
     CONST	       INT	          	         1
     CONST	       INT	          	         2
     CONST	       INT	          	         3
     CONST	       INT	          	         4
     CONST	       INT	          	         5
     CONST	       INT	          	         6
     CONST	       INT	          	         7
     CONST	       INT	          	         8
     CONST	       INT	          	         9
     CONST	       INT	          	        10
     CONST	       INT	          	        11
     CONST	       INT	          	        12
     CONST	       INT	          	        13
     CONST	       INT	          	        14
     CONST	       INT	          	        15
     CONST	       INT	          	        16
     CONST	       INT	          	        17
     CONST	       INT	          	        18
     CONST	       INT	          	        19
     CONST	      CHAR	          	        48
     CONST	      CHAR	          	        49
     CONST	      CHAR	          	        50
     CONST	      CHAR	          	        51
     CONST	      CHAR	          	        52
     CONST	      CHAR	          	        53
     CONST	      CHAR	          	        54
     CONST	      CHAR	          	        55
     CONST	      CHAR	          	        56
     CONST	      CHAR	          	        57
       VAR	       INT	          	          
       VAR	       INT	          	          
       VAR	       INT	          	         1
       VAR	       INT	          	          
       VAR	       INT	          	         2
       VAR	       INT	          	          
       VAR	       INT	          	         3
       VAR	       INT	          	          
       VAR	       INT	          	         4
       VAR	       INT	          	          
       VAR	       INT	          	         5
       VAR	       INT	          	          
       VAR	       INT	          	         6
       VAR	       INT	          	          
       VAR	       INT	          	         7
       VAR	       INT	          	          
       VAR	       INT	          	         8
       VAR	       INT	          	          
       VAR	       INT	          	         9
       VAR	       INT	          	          
       VAR	       INT	          	        10
       VAR	       INT	          	          
       VAR	       INT	          	        11
       VAR	       INT	          	          
       VAR	       INT	          	        12
       VAR	       INT	          	          
       VAR	       INT	          	        13
       VAR	       INT	          	          
       VAR	       INT	          	        14
       VAR	       INT	          	          
       VAR	       INT	          	        15
       VAR	       INT	          	          
       VAR	       INT	          	        16
       VAR	       INT	          	          
       VAR	       INT	          	        17
       VAR	       INT	          	          
